id;z1;z2;z3;z4;z5
21398;1;3;8;14;47
21399;1;3;8;14;48
21400;1;3;8;14;49
21401;1;3;8;14;50
21402;1;3;8;15;16
21403;1;3;8;15;17
21404;1;3;8;15;18
21405;1;3;8;15;19
21406;1;3;8;15;20
21407;1;3;8;15;21
21408;1;3;8;15;22
21409;1;3;8;15;23
21410;1;3;8;15;24
21411;1;3;8;15;25
21412;1;3;8;15;26
21413;1;3;8;15;27
21414;1;3;8;15;28
21415;1;3;8;15;29
21416;1;3;8;15;30
21417;1;3;8;15;31
21418;1;3;8;15;32
21419;1;3;8;15;33
21420;1;3;8;15;34
21421;1;3;8;15;35
21422;1;3;8;15;36
21423;1;3;8;15;37
21424;1;3;8;15;38
21425;1;3;8;15;39
21426;1;3;8;15;40
21427;1;3;8;15;41
21428;1;3;8;15;42
21429;1;3;8;15;43
21430;1;3;8;15;44
21431;1;3;8;15;45
21432;1;3;8;15;46
21433;1;3;8;15;47
21434;1;3;8;15;48
21435;1;3;8;15;49
21436;1;3;8;15;50
21437;1;3;8;16;17
21438;1;3;8;16;18
21439;1;3;8;16;19
21440;1;3;8;16;20
21441;1;3;8;16;21
21442;1;3;8;16;22
21443;1;3;8;16;23
21444;1;3;8;16;24
21445;1;3;8;16;25
21446;1;3;8;16;26
21447;1;3;8;16;27
21448;1;3;8;16;28
21449;1;3;8;16;29
21450;1;3;8;16;30
21451;1;3;8;16;31
21452;1;3;8;16;32
21453;1;3;8;16;33
21454;1;3;8;16;34
21455;1;3;8;16;35
21456;1;3;8;16;36
21457;1;3;8;16;37
21458;1;3;8;16;38
21459;1;3;8;16;39
21460;1;3;8;16;40
21461;1;3;8;16;41
21462;1;3;8;16;42
21463;1;3;8;16;43
21464;1;3;8;16;44
21465;1;3;8;16;45
21466;1;3;8;16;46
21467;1;3;8;16;47
21468;1;3;8;16;48
21469;1;3;8;16;49
21470;1;3;8;16;50
21471;1;3;8;17;18
21472;1;3;8;17;19
21473;1;3;8;17;20
21474;1;3;8;17;21
21475;1;3;8;17;22
21476;1;3;8;17;23
21477;1;3;8;17;24
21478;1;3;8;17;25
21479;1;3;8;17;26
21480;1;3;8;17;27
21481;1;3;8;17;28
21482;1;3;8;17;29
21483;1;3;8;17;30
21484;1;3;8;17;31
21485;1;3;8;17;32
21486;1;3;8;17;33
21487;1;3;8;17;34
21488;1;3;8;17;35
21489;1;3;8;17;36
21490;1;3;8;17;37
21491;1;3;8;17;38
21492;1;3;8;17;39
21493;1;3;8;17;40
21494;1;3;8;17;41
21495;1;3;8;17;42
21496;1;3;8;17;43
21497;1;3;8;17;44
21498;1;3;8;17;45
21499;1;3;8;17;46
21500;1;3;8;17;47
21501;1;3;8;17;48
21502;1;3;8;17;49
21503;1;3;8;17;50
21504;1;3;8;18;19
21505;1;3;8;18;20
21506;1;3;8;18;21
21507;1;3;8;18;22
21508;1;3;8;18;23
21509;1;3;8;18;24
21510;1;3;8;18;25
21511;1;3;8;18;26
21512;1;3;8;18;27
21513;1;3;8;18;28
21514;1;3;8;18;29
21515;1;3;8;18;30
21516;1;3;8;18;31
21517;1;3;8;18;32
21518;1;3;8;18;33
21519;1;3;8;18;34
21520;1;3;8;18;35
21521;1;3;8;18;36
21522;1;3;8;18;37
21523;1;3;8;18;38
21524;1;3;8;18;39
21525;1;3;8;18;40
21526;1;3;8;18;41
21527;1;3;8;18;42
21528;1;3;8;18;43
21529;1;3;8;18;44
21530;1;3;8;18;45
21531;1;3;8;18;46
21532;1;3;8;18;47
21533;1;3;8;18;48
21534;1;3;8;18;49
21535;1;3;8;18;50
21536;1;3;8;19;20
21537;1;3;8;19;21
21538;1;3;8;19;22
21539;1;3;8;19;23
21540;1;3;8;19;24
21541;1;3;8;19;25
21542;1;3;8;19;26
21543;1;3;8;19;27
21544;1;3;8;19;28
21545;1;3;8;19;29
21546;1;3;8;19;30
21547;1;3;8;19;31
21548;1;3;8;19;32
21549;1;3;8;19;33
21550;1;3;8;19;34
21551;1;3;8;19;35
21552;1;3;8;19;36
21553;1;3;8;19;37
21554;1;3;8;19;38
21555;1;3;8;19;39
21556;1;3;8;19;40
21557;1;3;8;19;41
21558;1;3;8;19;42
21559;1;3;8;19;43
21560;1;3;8;19;44
21561;1;3;8;19;45
21562;1;3;8;19;46
21563;1;3;8;19;47
21564;1;3;8;19;48
21565;1;3;8;19;49
